Family,Common Name,Latin,Total no.,No. observed in transect
Marine birds,,,,
Gaviidae,Red-throated Loon,Gavia stellata,1,0
Procellariidae,Northern Fulmar,Fulmarus glacialis,53,53
,Sooty Shearwater,Ardenna grisea,24,23
,Unidentified Shearwaters,Puffinus or Calonectris or Ardenna,1,0
Hydrobatidae,Leach's Storm-Petrel,Hydrobates leucorhous,20,17
,Wilson's Storm Petrel,Oceanites oceanicus,2,2
,Unidentified Storm-Petrels,Hydrobatidae,2,2
Phalacrocoracidae,Double-crested Cormorant,Phalacrocorax auritus,9,9
,Unidentified Cormorants,Phalacrocorax,1,1
Sulidae,Northern Gannet,Morus bassanus,200,196
Anatidae,Common Eider,Somateria mollissima,27,25
,Black Scoter,Melanitta nigra,1,1
Scolopacidae,Unidentified Phalaropes,Phalaropus,2,2
Laridae,Unidentified Skuas,Stercorarius Skuas,20,20
,Black-legged Kittiwake,Rissa tridactyla,145,145
,Herring Gull,Larus argentatus,115,107
,Great Black-backed Gull,Larus marinus,107,106
,Ring-billed Gull,Larus delawarensis,85,83
,Iceland Gull,Larus glaucoides,5,5
,Glaucous Gull,Larus hyperboreus,3,3
,Unidentified Gulls,Larus,635,357
,Unidentified Terns,Sterna,19,15
Alcidae,Dovekie,Alle alle,509,507
,Common Murre,Uria aalge,66,63
,Thick-billed Murre,Uria lomvia,38,38
,Unidentified Murres,Uria,328,321
,Atlantic Puffin,Fratercula arctica,33,33
,Razorbill,Alca torda,12,12
,Black Guillemot,Cepphus grylle,4,4
,Unidentified Auks,Alcidae,319,319
Total,,,2786,2469
