Date,Time,Lat,Lon,Temp,Sal,Sample_ID,TSG_Flow_Rate_Lmin,pCO2_Flow_Rate_Lmin,pCO2,TIC_TA,Chl,Salts,Oxygen,CDOM
3/30/2025,16:29,42 32.1041,65 29.1734,2.75,31.23,514003,10.1,1.86,X,X,XX,X,X,X
3/31/2025,15:22,43 15.0990,66 15.6506,4.47,32.05,514004,15,2,X,X,XX,X,X,X
4/1/2025,15:58,43 22.9512,68 48.1099,4.88,32.58,514005,14.8,1.91,X,X,XX,X,X,X
4/2/2025,15:16,42 50.3996,68 53.9413,5.54,32.72,514006,15.2,1.88,X,X,XX,X,X,X
4/3/2025,15:52,42 03.7839,66 05.0553,4.95,32.15,514007,15.2,1.82,X,X,XX,X,X,X
4/4/2025,15:23,43 32.3685,64 24.2912,2.79,31.22,514008,15.2,2.05,X,X,XX,X,X,X
4/5/2025,16:32,43 08.8006,62 03.7039,4.45,32.37,514009,14.3,2.06,X,X,XX,X,X,X
4/6/2025,15:35,42 42.6325,60 57.1539,6.06,32.4,514010,14.6,1.99,X,X,XX,X,X,X
4/7/2025,15:38,44 09.394,59 11.2426,3.35,32.05,514011,14.6,2.07,X,X,XX,X,X,X
4/8/2025,16:22,44 07.9685,59 13.8965,2.96,32.13,514012,13,1.84,X,X,XX,X,X,X
4/9/2025,15:25,44 36.9471,57 44.5122,2.44,32.13,514013,12.7,1.97,X,X,XX,X,X,X
4/10/2025,18:41,45 00.0475,56 01.7643,1.75,32.51,514014,10.1,0.93,X,X,XX,X,X,X
4/11/2025,18:14,43 55.2114,57 57.6524,4,32.6,514015,16.1,2.35,X,X,XX,X,X,X
4/12/2025,17:19,45 54.2858,59 40.0993,1.45,30.41,514016,15.2,2.15,X,X,XX,X,X,X
4/13/2025,15:37,47 25.5231,59 12.3219,1.03,30.96,514017,15.4,2.27,X,X,XX,X,X,X
4/14/2025,15:37,45 20.3100,59 39.4379,2.35,31.08,514018,15.8,2.31,X,X,XX,X,X,X
4/15/2025,16:49,43 43.6155,61 29.4862,4.59,32.23,514019,14.7,1.92,X,X,XX,X,X,X
4/16/2025,19:09,41 53.6322,60 58.8424,5.64,31.76,519020,14.5,1.77,X,X,XX,X,X,X
4/17/2025,15:15,43 27.1969,62 18.0645,4.49,31.91,519021,15.9,1.96,X,X,XX,X,X,X
